certification_id,certification_name,certification_link
1,AWS Certified Solutions Architect – Professional,https://aws.amazon.com/fr/certification/certified-solutions-architect-professional/
2,AWS Certified SysOps Administrator – Associate,https://aws.amazon.com/fr/certification/certified-sysops-admin-associate/
3,AWS cloud practitioner,https://aws.amazon.com/fr/certification/certified-cloud-practitioner/
4,Azure Data Engineer Associate,https://learn.microsoft.com/en-us/certifications/azure-data-engineer/
5,Collibra Solution Architect,https://www.credly.com/org/collibra/badge/collibra-solution-architect-certification
6,GCP ACE,https://cloud.google.com/certification/cloud-engineer
7,GCP Professional Data Engineer,https://cloud.google.com/certification/data-engineer?hl=fr
8,MapR certified Spark Developer 1.6,https://aws.amazon.com/fr/certification/certified-cloud-practitioner/
9,PSM I ,https://www.scrum.org/assessments/professional-scrum-master-i-certification
10,PSPO I ,https://www.scrum.org/assessments/professional-scrum-product-owner-i-certification
